"Date","DJIA"
"12/30/1899","48.4079"
"1/2/1900","49.9096"
"1/3/1900","48.7961"
"1/4/1900","49.1917"
"1/5/1900","48.8694"
"1/6/1900","48.3639"
"1/8/1900","48.6496"
"1/9/1900","47.6094"
"1/10/1900","46.9867"
"1/11/1900","46.3493"
"1/12/1900","47.5654"
"1/13/1900","47.4702"
"1/15/1900","47.0453"
"1/16/1900","47.0966"
"1/17/1900","47.2944"
"1/18/1900","47.0892"
"1/19/1900","47.8291"
"1/20/1900","47.4921"
"1/22/1900","47.8877"
"1/23/1900","47.1625"
"1/24/1900","47.4116"
"1/25/1900","47.6533"
"1/26/1900","47.0526"
"1/27/1900","47.0819"
"1/29/1900","47.2138"
"1/30/1900","48.3932"
"1/31/1900","48.4445"
"2/1/1900","49.3309"
"2/2/1900","49.7118"
"2/3/1900","49.7265"
"2/5/1900","50.0781"
"2/6/1900","49.8364"
"2/7/1900","49.7704"
"2/8/1900","49.4188"
"2/9/1900","48.9793"
"2/10/1900","48.8327"
"2/13/1900","49.3675"
"2/14/1900","49.0086"
"2/15/1900","49.1404"
"2/16/1900","48.6423"
"2/17/1900","48.2101"
"2/19/1900","48.5324"
"2/20/1900","48.4665"
"2/21/1900","48.0489"
"2/23/1900","47.2651"
"2/24/1900","46.972"
"2/26/1900","46.5618"
"2/27/1900","46.408"
"2/28/1900","46.8548"
"3/1/1900","46.5838"
"3/2/1900","45.3824"
"3/3/1900","45.9757"
"3/5/1900","45.5069"
"3/6/1900","45.3238"
"3/7/1900","45.2945"
"3/8/1900","44.9721"
"3/9/1900","44.767"
"3/10/1900","45.1846"
"3/12/1900","46.3787"
"3/13/1900","46.0636"
"3/14/1900","45.441"
"3/15/1900","45.2798"
"3/16/1900","45.3531"
"3/17/1900","45.7853"
"3/19/1900","46.0856"
"3/20/1900","46.4812"
"3/21/1900","46.9427"
"3/22/1900","46.9281"
"3/23/1900","46.6424"
"3/24/1900","47.0746"
"3/26/1900","46.9281"
"3/27/1900","47.4042"
"3/28/1900","47.7046"
"3/29/1900","46.9354"
"3/30/1900","47.9024"
"3/31/1900","48.3639"
"4/2/1900","48.0196"
"4/3/1900","47.7412"
"4/4/1900","47.6973"
"4/5/1900","47.961"
"4/6/1900","48.4591"
"4/7/1900","48.4591"
"4/9/1900","47.9537"
"4/10/1900","47.287"
"4/11/1900","47.4555"
"4/12/1900","47.1771"
"4/16/1900","45.0893"
"4/17/1900","45.2725"
"4/18/1900","45.2871"
"4/19/1900","45.6974"
"4/20/1900","45.5655"
"4/21/1900","44.2982"
"4/23/1900","44.8256"
"4/24/1900","45.1919"
"4/25/1900","45.3384"
"4/26/1900","46.1882"
"4/27/1900","45.6021"
"4/28/1900","45.2652"
"4/30/1900","44.9282"
"5/1/1900","44.9208"
"5/2/1900","44.7231"
"5/3/1900","44.7011"
"5/4/1900","44.8183"
"5/5/1900","44.9502"
"5/7/1900","44.4081"
"5/8/1900","43.4118"
"5/9/1900","43.9099"
"5/10/1900","44.0271"
"5/11/1900","42.9429"
"5/12/1900","42.5766"
"5/14/1900","42.1591"
"5/15/1900","41.4778"
"5/16/1900","41.8441"
"5/17/1900","41.5804"
"5/18/1900","42.3129"
"5/19/1900","42.6206"
"5/21/1900","42.0492"
"5/22/1900","42.562"
"5/23/1900","42.7451"
"5/24/1900","42.1298"
"5/25/1900","41.9466"
"5/26/1900","42.1591"
"5/28/1900","42.247"
"5/29/1900","42.4961"
"5/31/1900","43.2946"
"6/1/1900","43.4997"
"6/2/1900","43.0748"
"6/4/1900","42.4668"
"6/5/1900","42.1078"
"6/6/1900","41.7415"
"6/7/1900","42.1664"
"6/8/1900","41.4778"
"6/9/1900","41.324"
"6/11/1900","41.0456"
"6/12/1900","41.1335"
"6/13/1900","41.8441"
"6/14/1900","41.3972"
"6/15/1900","41.1481"
"6/16/1900","40.5987"
"6/18/1900","40.2617"
"6/19/1900","40.3496"
"6/20/1900","39.8442"
"6/21/1900","40.0346"
"6/22/1900","39.6391"
"6/23/1900","39.3241"
"6/25/1900","39.3241"
"6/26/1900","39.5585"
"6/27/1900","39.6391"
"6/28/1900","40.1079"
"6/29/1900","40.1665"
"6/30/1900","40.2398"
"7/2/1900","40.6427"
"7/3/1900","40.7819"
"7/5/1900","41.3972"
"7/6/1900","41.1188"
"7/7/1900","41.0456"
"7/9/1900","40.8478"
"7/10/1900","41.6902"
"7/11/1900","41.5877"
"7/12/1900","41.5437"
"7/13/1900","41.009"
"7/14/1900","40.9357"
"7/16/1900","41.1848"
"7/17/1900","41.573"
"7/18/1900","41.4705"
"7/19/1900","41.954"
"7/20/1900","42.7451"
"7/21/1900","42.7891"
"7/23/1900","43.2359"
"7/24/1900","42.7451"
"7/25/1900","42.6206"
"7/26/1900","42.4375"
"7/27/1900","42.5107"
"7/28/1900","42.269"
"7/30/1900","41.8514"
"7/31/1900","41.6097"
"8/1/1900","41.8001"
"8/2/1900","41.91"
"8/3/1900","41.9686"
"8/4/1900","42.269"
"8/6/1900","42.1737"
"8/7/1900","42.2763"
"8/8/1900","42.4008"
"8/9/1900","42.2983"
"8/10/1900","42.4887"
"8/11/1900","42.5547"
"8/13/1900","42.855"
"8/14/1900","43.0528"
"8/15/1900","43.148"
"8/16/1900","43.1187"
"8/17/1900","43.1041"
"8/18/1900","42.9942"
"8/20/1900","43.0748"
"8/21/1900","42.8916"
"8/22/1900","42.9649"
"8/23/1900","42.7964"
"8/24/1900","42.7085"
"8/25/1900","42.6133"
"8/27/1900","42.6499"
"8/28/1900","42.3349"
"8/29/1900","42.8037"
"8/30/1900","42.7744"
"8/31/1900","42.3495"
"9/4/1900","42.8916"
"9/5/1900","42.9136"
"9/6/1900","42.855"
"9/7/1900","42.7232"
"9/8/1900","42.4008"
"9/10/1900","42.54"
"9/11/1900","42.562"
"9/12/1900","42.6719"
"9/13/1900","42.6352"
"9/14/1900","42.1005"
"9/15/1900","41.4338"
"9/17/1900","41.5144"
"9/18/1900","41.4851"
"9/19/1900","40.7526"
"9/20/1900","39.8295"
"9/21/1900","39.8295"
"9/22/1900","39.1409"
"9/24/1900","38.7966"
"9/25/1900","38.9211"
"9/26/1900","39.0091"
"9/27/1900","39.9467"
"9/28/1900","39.661"
"9/29/1900","39.7563"
"10/1/1900","40.2617"
"10/2/1900","39.9394"
"10/3/1900","40.1006"
"10/4/1900","40.5035"
"10/5/1900","40.8038"
"10/6/1900","40.6646"
"10/8/1900","40.5694"
"10/9/1900","40.6646"
"10/10/1900","40.2178"
"10/11/1900","40.5401"
"10/12/1900","41.0895"
"10/13/1900","41.4485"
"10/15/1900","42.4155"
"10/16/1900","42.3569"
"10/17/1900","42.4082"
"10/18/1900","42.8257"
"10/19/1900","43.0235"
"10/20/1900","43.6169"
"10/22/1900","44.4154"
"10/23/1900","44.5326"
"10/24/1900","44.5326"
"10/25/1900","44.4227"
"10/26/1900","44.3201"
"10/27/1900","44.0125"
"10/29/1900","43.4484"
"10/30/1900","43.6096"
"10/31/1900","43.2506"
"11/1/1900","43.3532"
"11/2/1900","43.507"
"11/3/1900","43.8073"
"11/5/1900","44.5912"
"11/7/1900","46.0783"
"11/8/1900","46.7083"
"11/9/1900","47.7266"
"11/10/1900","48.7009"
"11/12/1900","49.3236"
"11/13/1900","48.1515"
"11/14/1900","48.5177"
"11/15/1900","48.9426"
"11/16/1900","49.9536"
"11/17/1900","50.3272"
"11/19/1900","50.459"
"11/20/1900","50.5982"
"11/21/1900","50.525"
"11/22/1900","50.1147"
"11/23/1900","49.0232"
"11/24/1900","48.8987"
"11/26/1900","49.2503"
"11/27/1900","49.0891"
"11/28/1900","48.7815"
"11/30/1900","48.7815"
"12/1/1900","48.6056"
"12/3/1900","48.6643"
"12/4/1900","47.9244"
"12/5/1900","48.3859"
"12/6/1900","47.668"
"12/7/1900","47.0087"
"12/8/1900","46.8695"
"12/10/1900","47.3603"
"12/11/1900","48.0123"
"12/12/1900","47.9463"
"12/13/1900","47.5361"
"12/14/1900","48.0123"
"12/15/1900","48.3053"
"12/17/1900","48.1295"
"12/18/1900","48.7302"
"12/19/1900","49.221"
"12/20/1900","49.3602"
"12/21/1900","50.2759"
"12/22/1900","51.3015"
"12/26/1900","51.9022"
"12/27/1900","52.0414"
"12/28/1900","51.1257"
"12/29/1900","51.426"
"12/31/1900","51.7996"
"1/2/1901","51.6018"
"1/3/1901","49.7924"
"1/4/1901","50.7887"
"1/5/1901","49.58"
"1/7/1901","49.1697"
"1/8/1901","49.558"
"1/9/1901","49.4701"
"1/10/1901","49.7338"
"1/11/1901","49.7045"
"1/12/1901","49.3455"
"1/14/1901","49.2723"
"1/15/1901","48.7155"
"1/16/1901","48.1368"
"1/17/1901","47.8365"
"1/18/1901","47.7705"
"1/19/1901","47.4482"
"1/21/1901","47.5581"
"1/22/1901","48.0049"
"1/23/1901","48.6203"
"1/24/1901","48.0929"
"1/25/1901","48.4665"
"1/26/1901","48.8474"
"1/28/1901","48.5617"
"1/29/1901","48.7595"
"1/30/1901","48.8767"
"1/31/1901","48.9426"
"2/1/1901","49.6019"
"2/4/1901","50.1514"
"2/5/1901","50.7447"
"2/6/1901","51.1989"
"2/7/1901","50.7887"
"2/8/1901","51.133"
"2/9/1901","51.3967"
"2/11/1901","51.6311"
"2/13/1901","50.8766"
"2/14/1901","51.7337"
"2/15/1901","51.8509"
"2/16/1901","51.4114"
"2/18/1901","50.4883"
"2/19/1901","50.0854"
"2/20/1901","49.7851"
"2/21/1901","50.2173"
"2/25/1901","50.0122"
"2/26/1901","49.3455"
"2/27/1901","49.895"
"2/28/1901","49.0818"
"3/1/1901","49.6386"
"3/2/1901","49.5726"
"3/4/1901","49.5067"
"3/5/1901","49.3382"
"3/6/1901","49.3675"
"3/7/1901","49.6093"
"3/8/1901","49.4847"
"3/9/1901","49.3016"
"3/11/1901","49.4334"
"3/12/1901","49.2869"
"3/13/1901","49.2137"
"3/14/1901","49.4774"
"3/15/1901","49.3236"
"3/16/1901","49.4261"
"3/18/1901","50.1221"
"3/19/1901","50.3491"
"3/20/1901","50.4151"
"3/21/1901","50.4957"
"3/22/1901","50.4883"
"3/23/1901","50.4151"
"3/25/1901","50.2466"
"3/26/1901","50.1953"
"3/27/1901","50.7447"
"3/28/1901","50.8326"
"3/29/1901","50.8619"
"3/30/1901","51.2209"
"4/1/1901","51.9461"
"4/2/1901","52.0267"
"4/3/1901","52.2685"
"4/4/1901","52.752"
"4/8/1901","52.3564"
"4/9/1901","53.1182"
"4/10/1901","53.5578"
"4/11/1901","53.1988"
"4/12/1901","53.3893"
"4/13/1901","53.9534"
"4/15/1901","55.1987"
"4/16/1901","55.25"
"4/17/1901","54.8544"
"4/18/1901","55.0156"
"4/19/1901","55.5943"
"4/20/1901","55.4258"
"4/22/1901","54.62"
"4/23/1901","54.0633"
"4/24/1901","53.631"
"4/25/1901","53.9387"
"4/26/1901","54.4662"
"4/29/1901","55.1108"
"4/30/1901","55.5284"
"5/1/1901","55.6236"
"5/2/1901","55.0815"
"5/3/1901","54.4808"
"5/4/1901","54.8691"
"5/6/1901","55.3452"
"5/7/1901","54.957"
"5/8/1901","52.5395"
"5/9/1901","49.3602"
"5/10/1901","52.5029"
"5/13/1901","52.686"
"5/14/1901","50.9792"
"5/15/1901","51.3235"
"5/16/1901","51.8949"
"5/17/1901","53.5431"
"5/18/1901","54.1072"
"5/20/1901","53.3014"
"5/21/1901","53.7995"
"5/22/1901","53.8508"
"5/23/1901","53.3527"
"5/24/1901","54.012"
"5/25/1901","53.9314"
"5/27/1901","53.968"
"5/28/1901","54.2171"
"5/29/1901","54.5834"
"5/31/1901","55.5064"
"6/1/1901","56.1071"
"6/3/1901","56.9422"
"6/4/1901","56.4587"
"6/5/1901","55.9459"
"6/6/1901","56.0045"
"6/7/1901","55.902"
"6/8/1901","55.7262"
"6/10/1901","55.8727"
"6/11/1901","55.7555"
"6/12/1901","56.0778"
"6/13/1901","56.6346"
"6/14/1901","56.4587"
"6/15/1901","56.7225"
"6/17/1901","57.3305"
"6/18/1901","57.0082"
"6/19/1901","56.8177"
"6/20/1901","56.5686"
"6/21/1901","57.0961"
"6/22/1901","56.9276"
"6/24/1901","56.9276"
"6/25/1901","56.3562"
"6/26/1901","56.3122"
"6/27/1901","56.2756"
"6/28/1901","56.0192"
"6/29/1901","57.0961"
"7/1/1901","56.4661"
"7/2/1901","56.4587"
"7/3/1901","56.1144"
"7/8/1901","54.2391"
"7/9/1901","54.6933"
"7/10/1901","53.316"
"7/11/1901","52.9058"
"7/12/1901","51.8436"
"7/13/1901","52.0487"
"7/15/1901","50.8839"
"7/16/1901","51.0378"
"7/17/1901","52.415"
"7/18/1901","52.6787"
"7/19/1901","52.7227"
"7/20/1901","52.2465"
"7/22/1901","51.5945"
"7/23/1901","52.2978"
"7/24/1901","51.9461"
"7/25/1901","52.5175"
"7/26/1901","52.8399"
"7/27/1901","53.2574"
"7/29/1901","53.4332"
"7/30/1901","53.2208"
"7/31/1901","52.4736"
"8/1/1901","52.5322"
"8/2/1901","52.2172"
"8/3/1901","52.1732"
"8/5/1901","50.7008"
"8/6/1901","50.5836"
"8/7/1901","50.9352"
"8/8/1901","51.5872"
"8/9/1901","51.0304"
"8/10/1901","50.8107"
"8/12/1901","51.2136"
"8/13/1901","51.5213"
"8/14/1901","51.7996"
"8/15/1901","52.5322"
"8/16/1901","52.437"
"8/17/1901","52.0194"
"8/19/1901","52.0194"
"8/20/1901","52.0707"
"8/21/1901","52.3051"
"8/22/1901","52.8179"
"8/23/1901","53.4992"
"8/24/1901","53.99"
"8/26/1901","54.0852"
"8/27/1901","53.338"
"8/28/1901","53.2648"
"8/29/1901","53.3453"
"8/30/1901","53.8215"
"9/3/1901","53.2208"
"9/4/1901","53.675"
"9/5/1901","53.5212"
"9/6/1901","52.9131"
"9/7/1901","50.5689"
"9/9/1901","51.785"
"9/10/1901","52.3417"
"9/11/1901","52.0194"
"9/12/1901","51.4626"
"9/13/1901","49.265"
"9/16/1901","51.2868"
"9/17/1901","51.1843"
"9/18/1901","51.4626"
"9/20/1901","51.6238"
"9/21/1901","51.0817"
"9/23/1901","49.4994"
"9/24/1901","49.3968"
"9/25/1901","48.5104"
"9/26/1901","49.0012"
"9/27/1901","49.5873"
"9/28/1901","49.3748"
"9/30/1901","48.8327"
"10/1/1901","48.4005"
"10/2/1901","48.3053"
"10/3/1901","47.2358"
"10/4/1901","47.3017"
"10/5/1901","46.5032"
"10/7/1901","46.679"
"10/8/1901","46.7669"
"10/9/1901","46.9794"
"10/10/1901","47.8804"
"10/11/1901","48.2833"
"10/12/1901","47.9976"
"10/14/1901","48.1954"
"10/15/1901","47.8365"
"10/16/1901","47.5508"
"10/17/1901","47.7852"
"10/18/1901","47.9683"
"10/19/1901","48.2101"
"10/21/1901","47.9244"
"10/22/1901","48.1002"
"10/23/1901","48.1002"
"10/24/1901","47.939"
"10/25/1901","47.8291"
"10/26/1901","47.6826"
"10/28/1901","46.8914"
"10/29/1901","47.2211"
"10/30/1901","47.5141"
"10/31/1901","47.2138"
"11/1/1901","47.3749"
"11/2/1901","47.4921"
"11/4/1901","47.2358"
"11/6/1901","47.2944"
"11/7/1901","47.4555"
"11/8/1901","47.6899"
"11/9/1901","48.1002"
"11/11/1901","48.7302"
"11/12/1901","48.6056"
"11/13/1901","48.3712"
"11/14/1901","47.8804"
"11/15/1901","48.4225"
"11/16/1901","48.4372"
"11/18/1901","48.254"
"11/19/1901","48.0709"
"11/20/1901","47.7266"
"11/21/1901","47.9463"
"11/22/1901","48.2613"
"11/23/1901","48.1148"
"11/25/1901","47.7266"
"11/26/1901","47.7485"
"11/27/1901","48.1881"
"11/29/1901","48.1148"
"11/30/1901","47.624"
"12/2/1901","46.8988"
"12/3/1901","47.2064"
"12/4/1901","47.5215"
"12/5/1901","47.4995"
"12/6/1901","46.7523"
"12/7/1901","46.1223"
"12/9/1901","46.6497"
"12/10/1901","46.3493"
"12/11/1901","45.9684"
"12/12/1901","45.1333"
"12/13/1901","45.3018"
"12/14/1901","45.5802"
"12/16/1901","45.3824"
"12/17/1901","45.6168"
"12/18/1901","45.9977"
"12/19/1901","46.049"
"12/20/1901","46.2761"
"12/21/1901","46.2395"
"12/23/1901","45.4996"
"12/24/1901","45.0674"
"12/26/1901","45.8732"
"12/27/1901","46.3787"
"12/28/1901","46.7083"
"12/30/1901","46.3933"
"12/31/1901","47.2944"
"1/2/1902","47.1185"
"1/3/1902","47.0673"
"1/4/1902","47.3163"
"1/6/1902","47.5434"
"1/7/1902","47.0453"
"1/8/1902","47.5215"
"1/9/1902","46.9427"
"1/10/1902","46.7742"
"1/11/1902","46.8988"
"1/13/1902","46.3787"
"1/14/1902","45.8366"
"1/15/1902","46.2688"
"1/16/1902","46.5838"
"1/17/1902","46.8988"
"1/18/1902","46.5471"
"1/20/1902","46.4812"
"1/21/1902","46.4739"
"1/22/1902","46.5471"
"1/23/1902","46.8914"
"1/24/1902","46.9794"
"1/25/1902","46.8109"
"1/27/1902","47.0087"
"1/28/1902","47.7412"
"1/29/1902","47.4409"
"1/30/1902","47.5215"
"1/31/1902","47.5801"
"2/1/1902","47.646"
"2/3/1902","47.4482"
"2/4/1902","47.3383"
"2/5/1902","47.5874"
"2/6/1902","47.5581"
"2/7/1902","47.8438"
"2/8/1902","47.5727"
"2/10/1902","47.4848"
"2/11/1902","47.7339"
"2/13/1902","47.309"
"2/14/1902","47.331"
"2/15/1902","47.3749"
"2/17/1902","47.8365"
"2/18/1902","47.4775"
"2/19/1902","48.0049"
"2/20/1902","47.3823"
"2/21/1902","47.602"
"2/24/1902","47.8365"
"2/25/1902","48.0416"
"2/26/1902","47.7632"
"2/27/1902","47.8145"
"2/28/1902","47.4775"
"3/1/1902","47.7119"
"3/3/1902","47.8365"
"3/4/1902","47.4482"
"3/5/1902","47.5947"
"3/6/1902","48.4665"
"3/7/1902","48.0269"
"3/8/1902","48.0562"
"3/10/1902","47.6973"
"3/11/1902","47.8511"
"3/12/1902","47.5288"
"3/13/1902","47.8072"
"3/14/1902","47.8951"
"3/15/1902","48.0489"
"3/17/1902","48.0489"
"3/18/1902","48.3346"
"3/19/1902","48.7155"
"3/20/1902","49.265"
"3/21/1902","49.4627"
"3/22/1902","49.3089"
"3/24/1902","49.3016"
"3/25/1902","49.0891"
"3/26/1902","49.265"
"3/27/1902","49.2357"
"3/31/1902","49.221"
"4/1/1902","49.2283"
"4/2/1902","49.2063"
"4/3/1902","49.0891"
"4/4/1902","48.95"
"4/5/1902","48.9646"
"4/7/1902","48.7888"
"4/8/1902","48.7888"
"4/9/1902","48.906"
"4/10/1902","48.3126"
"4/11/1902","48.4811"
"4/12/1902","48.591"
"4/14/1902","48.3712"
"4/15/1902","48.6862"
"4/16/1902","48.9793"
"4/17/1902","49.4041"
"4/18/1902","49.6312"
"4/19/1902","49.5287"
"4/21/1902","49.1551"
"4/22/1902","48.4958"
"4/23/1902","48.9646"
"4/24/1902","50.1367"
"4/25/1902","49.536"
"4/26/1902","49.5433"
"4/28/1902","49.3089"
"4/29/1902","49.3529"
"4/30/1902","49.0891"
"5/1/1902","49.1624"
"5/2/1902","48.2687"
"5/3/1902","48.5324"
"5/5/1902","48.3932"
"5/6/1902","49.0891"
"5/7/1902","48.613"
"5/8/1902","48.8327"
"5/9/1902","48.6423"
"5/10/1902","48.3126"
"5/12/1902","47.9903"
"5/13/1902","48.276"
"5/14/1902","48.3126"
"5/15/1902","48.3932"
"5/16/1902","47.8731"
"5/17/1902","47.5068"
"5/19/1902","47.4189"
"5/20/1902","47.8584"
"5/21/1902","48.2467"
"5/22/1902","48.2613"
"5/23/1902","48.6716"
"5/24/1902","48.95"
"5/26/1902","48.6862"
"5/27/1902","48.5324"
"5/28/1902","48.5031"
"5/29/1902","48.6569"
"6/2/1902","48.5397"
"6/3/1902","48.4738"
"6/4/1902","48.3199"
"6/5/1902","47.8511"
"6/6/1902","47.9537"
"6/7/1902","47.9756"
"6/9/1902","48.1148"
"6/10/1902","48.4298"
"6/11/1902","48.4958"
"6/12/1902","48.3053"
"6/13/1902","48.3053"
"6/14/1902","48.3859"
"6/16/1902","48.276"
"6/17/1902","48.2687"
"6/18/1902","47.9317"
"6/19/1902","47.5508"
"6/20/1902","47.4409"
"6/21/1902","47.4555"
"6/23/1902","47.0306"
"6/24/1902","46.6424"
"6/25/1902","46.7523"
"6/26/1902","46.9134"
"6/27/1902","46.6863"
"6/28/1902","46.7889"
"6/30/1902","47.1112"
"7/1/1902","47.0673"
"7/2/1902","47.4409"
"7/3/1902","47.5361"
"7/7/1902","47.6826"
"7/8/1902","47.2577"
"7/9/1902","47.0819"
"7/10/1902","47.3603"
"7/11/1902","47.2504"
"7/12/1902","47.2138"
"7/14/1902","47.353"
"7/15/1902","47.4628"
"7/16/1902","48.0196"
"7/17/1902","48.276"
"7/18/1902","48.3712"
"7/19/1902","48.3786"
"7/21/1902","48.3566"
"7/22/1902","48.6716"
"7/23/1902","48.7155"
"7/24/1902","48.6203"
"7/25/1902","48.7815"
"7/26/1902","48.7815"
"7/28/1902","49.2869"
"7/29/1902","48.7229"
"7/30/1902","48.7595"
"7/31/1902","48.2174"
"8/1/1902","48.2833"
"8/2/1902","48.2247"
"8/4/1902","48.3199"
"8/5/1902","48.4372"
"8/6/1902","48.6936"
"8/7/1902","48.7302"
"8/8/1902","48.7375"
"8/11/1902","48.4884"
"8/12/1902","48.4005"
"8/13/1902","48.7009"
"8/14/1902","48.9206"
"8/15/1902","48.7815"
"8/16/1902","48.7155"
"8/18/1902","48.6276"
"8/19/1902","48.6862"
"8/20/1902","48.5544"
"8/21/1902","47.8584"
"8/22/1902","48.2027"
"8/23/1902","48.2027"
"8/25/1902","48.254"
"8/26/1902","48.1954"
"8/27/1902","48.4884"
"8/28/1902","48.5544"
"8/29/1902","48.5544"
"9/2/1902","48.7522"
"9/3/1902","48.8181"
"9/4/1902","48.7888"
"9/5/1902","48.9353"
"9/6/1902","48.7595"
"9/8/1902","49.1697"
"9/9/1902","49.1038"
"9/10/1902","49.0012"
"9/11/1902","48.8401"
"9/12/1902","48.3859"
"9/13/1902","48.569"
"9/15/1902","48.4298"
"9/16/1902","48.6423"
"9/17/1902","49.0012"
"9/18/1902","49.265"
"9/19/1902","49.6459"
"9/20/1902","49.3748"
"9/22/1902","49.0159"
"9/23/1902","47.9463"
"9/24/1902","47.9244"
"9/25/1902","48.2101"
"9/26/1902","48.5983"
"9/27/1902","48.5544"
"9/29/1902","46.9354"
"9/30/1902","48.4591"
"10/1/1902","48.6789"
"10/2/1902","48.6716"
"10/3/1902","48.7741"
"10/4/1902","48.1368"
"10/6/1902","47.038"
"10/7/1902","46.7669"
"10/8/1902","47.0892"
"10/9/1902","47.6606"
"10/10/1902","47.4409"
"10/11/1902","46.7669"
"10/13/1902","47.0087"
"10/14/1902","47.6313"
"10/15/1902","47.8877"
"10/16/1902","48.4225"
"10/17/1902","48.7668"
"10/18/1902","48.7155"
"10/20/1902","48.7741"
"10/21/1902","48.2101"
"10/22/1902","48.2687"
"10/23/1902","48.1881"
"10/24/1902","47.8877"
"10/25/1902","48.6716"
"10/27/1902","48.3932"
"10/28/1902","48.2906"
"10/29/1902","47.7119"
"10/30/1902","47.9317"
"10/31/1902","48.3932"
"11/1/1902","48.2027"
"11/3/1902","48.0196"
"11/5/1902","47.287"
"11/6/1902","47.1552"
"11/7/1902","47.0233"
"11/8/1902","46.0783"
"11/10/1902","45.6754"
"11/11/1902","44.6571"
"11/12/1902","45.1333"
"11/13/1902","45.2798"
"11/14/1902","44.4081"
"11/15/1902","45.126"
"11/17/1902","45.5582"
"11/18/1902","45.1333"
"11/19/1902","45.1919"
"11/20/1902","45.4483"
"11/21/1902","46.1076"
"11/22/1902","46.0563"
"11/24/1902","45.9977"
"11/25/1902","45.5289"
"11/26/1902","44.9868"
"11/28/1902","45.5216"
"11/29/1902","45.4556"
"12/1/1902","45.8073"
"12/2/1902","45.5802"
"12/3/1902","45.419"
"12/4/1902","45.3457"
"12/5/1902","45.2432"
"12/6/1902","45.2212"
"12/8/1902","45.5216"
"12/9/1902","45.5582"
"12/10/1902","44.474"
"12/11/1902","43.9319"
"12/12/1902","44.093"
"12/13/1902","43.844"
"12/15/1902","43.6389"
"12/16/1902","43.7414"
"12/17/1902","44.0271"
"12/18/1902","44.8183"
"12/19/1902","44.9502"
"12/20/1902","45.3238"
"12/22/1902","45.9098"
"12/23/1902","45.419"
"12/24/1902","45.8659"
"12/26/1902","46.3054"
"12/27/1902","46.657"
"12/29/1902","46.3713"
"12/30/1902","46.8548"
"12/31/1902","47.0966"
"1/2/1903","47.3237"
"1/3/1903","47.3603"
"1/5/1903","47.8951"
"1/6/1903","48.2613"
"1/7/1903","48.1515"
"1/8/1903","48.591"
"1/9/1903","48.5031"
"1/10/1903","48.2394"
"1/12/1903","48.0929"
"1/13/1903","47.602"
"1/14/1903","47.5361"
"1/15/1903","47.2504"
"1/16/1903","47.4702"
"1/17/1903","47.668"
"1/19/1903","47.2651"
"1/20/1903","47.0233"
"1/21/1903","47.6167"
"1/22/1903","47.4921"
"1/23/1903","47.1039"
"1/24/1903","47.1112"
"1/26/1903","47.5434"
"1/27/1903","47.8804"
"1/28/1903","47.8877"
"1/29/1903","48.0196"
"1/30/1903","47.5874"
"1/31/1903","47.7485"
"2/2/1903","48.0049"
"2/3/1903","48.3932"
"2/4/1903","48.6423"
"2/5/1903","48.7522"
"2/6/1903","48.6276"
"2/7/1903","48.6936"
"2/9/1903","49.1551"
"2/10/1903","49.243"
"2/11/1903","49.221"
"2/13/1903","49.0305"
"2/14/1903","49.1184"
"2/16/1903","49.5946"
"2/17/1903","49.5873"
"2/18/1903","49.3162"
"2/19/1903","48.8547"
"2/20/1903","49.2723"
"2/24/1903","49.3968"
"2/25/1903","49.1477"
"2/26/1903","48.7302"
"2/27/1903","48.4665"
"2/28/1903","48.4884"
"3/2/1903","48.3566"
"3/3/1903","48.1148"
"3/4/1903","48.2101"
"3/5/1903","47.3969"
"3/6/1903","47.4848"
"3/7/1903","46.9794"
"3/9/1903","47.1918"
"3/10/1903","46.8109"
"3/11/1903","47.0892"
"3/12/1903","46.8255"
"3/13/1903","46.9647"
"3/14/1903","47.1112"
"3/16/1903","47.0233"
"3/17/1903","47.2577"
"3/18/1903","47.5141"
"3/19/1903","47.9097"
"3/20/1903","48.1661"
"3/21/1903","48.1222"
"3/23/1903","47.9024"
"3/24/1903","47.1991"
"3/25/1903","46.8548"
"3/26/1903","46.994"
"3/27/1903","46.4812"
"3/28/1903","46.4739"
"3/30/1903","46.049"
"3/31/1903","46.6204"
"4/1/1903","46.4959"
"4/2/1903","45.8805"
"4/3/1903","45.8219"
"4/4/1903","45.6241"
"4/6/1903","45.712"
"4/7/1903","45.4849"
"4/8/1903","45.6241"
"4/9/1903","45.6534"
"4/13/1903","44.5326"
"4/14/1903","45.5069"
"4/15/1903","45.5216"
"4/16/1903","46.0563"
"4/17/1903","46.7669"
"4/18/1903","46.9867"
"4/20/1903","47.1991"
"4/21/1903","47.2944"
"4/23/1903","47.038"
"4/24/1903","46.9354"
"4/25/1903","46.7303"
"4/27/1903","46.5032"
"4/28/1903","46.7156"
"4/29/1903","46.9501"
"4/30/1903","46.723"
"5/1/1903","46.7669"
"5/2/1903","46.7816"
"5/4/1903","46.9281"
"5/5/1903","46.8914"
"5/6/1903","46.8035"
"5/7/1903","46.5545"
"5/8/1903","46.6644"
"5/9/1903","46.5545"
"5/11/1903","46.7083"
"5/12/1903","46.5178"
"5/13/1903","46.6131"
"5/14/1903","46.2614"
"5/15/1903","46.1589"
"5/16/1903","45.9245"
"5/18/1903","45.5069"
"5/19/1903","45.6241"
"5/20/1903","44.8696"
